Name,Net Volume,Vintage,Type,Sugar Content,Appellation,SKU
Cabernet Sauvignon Reserve,750ml,2019,Red Wine,Dry,Napa Valley AVA,CSR-2019-750
Pinot Grigio,750ml,2022,White Wine,Dry,Veneto IGT,PG-2022-750
Champagne Brut,750ml,2018,Champagne,Brut,Champagne AOC,CB-2018-750
Merlot Estate,750ml,2020,Red Wine,Dry,Bordeaux AOC,ME-2020-750
Sauvignon Blanc,750ml,2023,White Wine,Dry,Loire Valley AOC,SB-2023-750
Rosé Provence,750ml,2022,Rosé Wine,Dry,Provence AOC,RP-2022-750
Syrah Single Vineyard,750ml,2018,Red Wine,Dry,Rhône Valley AOC,SSV-2018-750
Chardonnay Oak Aged,750ml,2021,White Wine,Dry,Burgundy AOC,COA-2021-750
Prosecco Extra Dry,750ml,2023,Sparkling Wine,Extra Dry,Veneto DOCG,PED-2023-750
Tempranillo Crianza,750ml,2019,Red Wine,Dry,Rioja DOCa,TC-2019-750
